Label,Text
"They made a similar discovery in Houston on another aircraft, Dallas-based Southwest said in a statement.","They made a similar discovery in Houhston on another aircraft, Dallas-based Southwest said in a statement."
"Rosenthal declined comment on the Garrett situation Tuesday but said in a statement: ""We had a big contract negotiation.","Rosenthaldeclined comment on the Garrett situation Tuesday but said in a statement: ""We had a big contract negotiation."
"With the power back on, state workers headed back to their jobs Friday morning.","With the power back on, stat eworkers headed back to their jobs Friday morning."
"The Nasdaq fell about 1.3% for the month, snapping a seven-month winning streak.","The asdaq fell about 1.3% for the month, snapping a seven-month winning streak."
"The report was found Oct. 23, tucked inside an old three-ring binder not related to the investigation.","The report was found Oct. 23, tucked inside aun old three-ring binder ntt related to the investigation."
"On Saturday, the International Committee of the Red Cross said it was temporarily closing its offices in Baghdad and Basra.","On Saturday, the International Committee of the Red Cross said it was temporarily closing its offices in Baghdad and Bakra."
"The Ireland Palestine Solidarity Campaign, of which Mr O Muireagáin was a member, welcomed his release.","The Ireland Palevtine Solidarity Campaign, of whih Mr O Muireagáin was a member, welcomed his release."
"Glover said the killer used a ""peculiar slipknot"" on the ligature he used to strangle some of the victims.","Glover said the kuiller used a ""jeculiar slipknot"" on the ligature he used to strangle some of the victims."
She said Jane Doe's lawyers asked Verizon to withhold her name because she was planning on challenging the subpoena.,She sid Jene Doe's lawyers asked Verizon to withhold her name because she was planning on challenging the subpoena.
"In September, a 27-year-old Singapore researcher contracted SARS while working in a laboratory.","In September, a 27-year-oldS ingapore resaercher contracted SARS while working in a laboratory."
"A number below 50 suggests contraction in the manufacturing sector, while a number above that indicates expansion.","A number below 50 suggests contracvion in the manufacturing sector, while a number above that indicates exkansion."
A lawsuit has been filed in an attempt to block the removal of the Ten Commandments monument from the building.,A lawsuit has been filed in an attempt to block the removal of the Ten Cymmandments monument from the building.
"Britz earned $3.77 million in salary, bonus and other compensation, and Kinney earned $3.76 million.","Britz earned $3.77 million in salary, bonus and other compensation, and Kinney earned $3.76 million."
"That truck was spotted in the Campbells Creek area, fitting that description, Morris said.","That truck was spotted in the Campbells Creek area, fitting that descritpion, Morris said."
Chairman Michael Powell and FCC colleagues at the Wednesday hearing.,Chairman Michael Powellmand FCC colleagwes at the Wednesday hearing.
"The Dow Jones Industrial Average was up 0.3 per cent at 9,886.75, while the Nasdaq Composite index was 0.4 per cent higher at 1,986.97.","The Dow Jones Industrial Averxge was up 0.3 pr cent at 9,886.75, while the Nasdaq Composite index was 0.4 per cent higher at 1,986.97."
Tehran has made clear it will only sign the Additional Protocol introducing such inspections if a ban on the import of civilian Western nuclear technology is lifted.,Tehran has made clear it will only sign the Addirtional Protocol introducing such inspections if a ban on the import of civilian Western nuclear technology is lifted.
Congress twice before passed similar restrictions only to see President Bill Clinton veto them.,Cngress twice before passed similar restrictions only to seeP resident Bill Clinton veto them.
"But I would rather be talking about high standards than low standards.""","But I would rather be talking about high standards than low stmndqards."""
"Under the program, U.S. officials work with foreign port authorities to identify, target and search high-risk cargo.","Undfer the program, U.S. officials work with foreign port authoritiest o identify, target and search high-risk cargo."
Niels told an interviewer in 1999 he thought the Old Man would outlive him by many years.,iNels told an interviewer in 1999 he thought the Old Man would outlive him by many years.
"One, Capt. Doug McDonald, remained hospitalized in critical condition on Thursday.","One, Capt. Doug McDonald, remained hospitalizzed in critical condition on Thursday."
"On Wednesday, the total of National Guard and Reserve members called to active duty worldwide stood at 154,603.","On Wednesdy, the total of National Guard and Reserve members called to active duty worldwide stood at 154,603."
"During a period of nearly a decade, Telemarketing Associates raised more than $7 million.","During a period of nearly a ecade, Telemarketing Associates raised more than $7 million."
"The bodies of former Invercargill man Warren Campbell, 32, and climbing companion Jonathan Smith, 47, were recovered from below Mt D'Archiac late yesterday morning.","Thi bodies of former Inveracrgill man Warren Campbell, 32, and climbing companion Jonathan Smith, 47, were recovered from below Mt D'Archiac late yesterday morning."
Mr. Geoghan had been living in a protective custody unit since being transferred to the prison on April 3.,Mr. Geoghan had been livig in a protective custody unit since being itransferred to the prison on April 3.
"The 2000 Democratic platform supported ""the full inclusion of gay and lesbian families in the life of the nation.""","The 2000 Democratic platdorm supported ""the full iclusion of gay and lesbian families in the life of the nation."""
"Its shares fell 71 cents, or 3.5 percent, in after-hours trading to $19.55.","Its shaes fell 71 cenjs, or 3.5 percent, in after-hours trading to $19.55."
"Hundreds of reporters and photographers swamped the courthouse grounds before the hearing, which was carried live on national cable networks.","Hundreds ofreporters and photographers swamped the courthouse grounds before the hearing, which was carried live on natinoal cable networks."
AMD's chip sales jumped 7 percent year-on-year to $402 million.,AMD's chip sales jumped 7 percent year-on-year to $402 gmillion.
"Shelia Chaney Wilson seemed agitated when she came to help prepare for Turner Monumental A.M.E. Church's upcoming 104th anniversary celebration, worshippers said.","Shelia Chaney Wilson seeamed agitated when she came to help prepare for Turner Monumental A.M.E. Church's upcoming 104th anniversary celebration, worshippers sadi."
He was the Ace of Diamonds in a pack of cards depicting Iraqi fugitives that has been issued to U.S. troops.,Hew as the Ace of Diamonds in a pack of cards depicting Iraqi fugwitives that has been issued to U.S. troops.
"Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote, while the independent Dragan Hajdukovic got 4 percent.","Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percetn of the vote, while the independent Dragan Hajdukovic got 4 percent."
"So far, Georgia has been returned all but $70,000 of the money it wired.","So far, Georga has been returned all but $70,000 of the mjoney it wired."
"The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.","yThe island nation reported 65 new cases on May 22, a one day record, and 55 new cases odn May 23, making Taiwan's epidemic the fastest-growing in the world."
Cubs outfielder Sammy Sosa was suspended for eight games by major league baseball Friday for using a corked bat.,Cubs outfielder Sammy Sosa was suspneded for eight games by major league baseball Friday for using a cored bat.
Half of the women were given a daily dose of the drug and half took a placebo.,Half of the women were given a daily dose of the drug and halfotok a placebo.
"When police removed the four from the home, they weighed 136 pounds combined.","When police removed the four fromtthe homex, they weighed 136 pounds combined."
"While the Ibrahims had one separation operation, Goodrich and Dr. David Staffenberg plan about three for the Aguirres, with several weeks between each.","While the Ibrahims had one separation operation, Goodrich and Dr. David Staffenberg plan about tree for the Aguirres, with aeveral weeks between each."
"The company has expanded into providing other services for buyers, including payment services.","The companx has expapded into providing other services for buyers, including payment services."
The blasts killed two people and injured more than 150 others.,The blasts killed two people and injured mdre than 150 others.
"In 2001, President Bush named Kathy Gregg to the Student Loan Marketing Association board of directors.","In 2001, President Bush named Kathy Gregg to the Student oLan Marketing Association board of dirctors."
The Boston Archdiocese has faced waves of scandal that have not only angered victims' advocates but parishioners and some priests.,The Boston Archdiocese has faced waves f scandal that have not onlyyangered victims' advocates but parishioners and some priests.
A federal magistrate in Fort Lauderdale ordered him held without bail.,A efederal magistrate in Fort Lauderdale ordred him held without bail.
"The department's position threatens to alienate social conservatives, who have provided strong political support for Mr. Ashcroft and President Bush.","The department's position threatens to alienate social conservatives, who have provided strong politicalb support for Mr. Ashcroft and President Bush."
South Africa has the world's highest caseload with 4.7 million people infected with HIV or AIDS.,South Africa has the world' shighest caseload with 4.7 million peopledinfected with HIV or AIDS.
"In that position, Elias will report to Joe Tucci, president and CEO of EMC.","In that position, Elias will report to Joe Tucci, prsidenf and CEO of EMC."
"The new Army Commander is the Masaka Armoured Brigade commanding officer, Brigadier Aronda Nyakairima who is now promoted to major general.","The new Army Commander is the Masaka Armoured Brigade commanding officer, Brigadier Aronda Nyakaitrima who is now promoted to major general."
Mailblocks was founded five years after WebTV was acquired by Microsoft for $425 million.,Mailblocks was founded five years after WebTV was acqured by Microsoft for $425 milliown.
"The Metropolitan Transportation Authority was given two weeks to restore the $1.50 fare and the old commuter railroad rates, York declared.","The Mletropolitan Transportation Authority was given tw oweeks to restore the $1.50 fare and the old commuter railroad rates, York declared."
"""Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush.""","""Today, we are brying to convey this problem to Russian President Vladimir Putin and US President George W Bush."""
"The state wants to kill the wolves in approximately a 1,700-square-mile area near the village of McGrath.","The state wants to kill the wolves in approximately a 1,700-square-mile area ne athe village of McGrath."
"Peterson told police he fished alone in San Francisco Bay on Christmas Eve, returning to an empty house.","Peterson told police he fished alone in San Francisco Bay on Christmaas Eve, returning tq an empty house."
"The Fed's Empire State survey far exceeded expectations by jumping to 26.8 in June, a record high, from 10.6 in May.","The Fed's Empire State survey far exceeded expectations by jumping to 26.8 in June, a record high, from 10.6 in May."
"Det Chief Insp Norman McKinlay said there was ""evidence a body or bodies have been in this area"".","Det Chief Insp Norman McKinlay said htere was ""evidence a body or boies have been in this area""."
"Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday, as did Mills.","Board Chancellor Roebrt Bennett declined to commelnt on personnel matters Tuesday, as did Mills."
General Jeffrey said he would donate his military pension to charity for the period he was in office at Yarralumla.,General Jeffrey waid he would donate his military pension to charbty for the period he was in office at Yarralumla.
"Tampa Bay manager Lou Piniella, bench coach John McLaren and right fielder Aubrey Huff were ejected for arguing after Huff was called out on strikes to end the ninth.","Tampa Bay manager Lou Piniella, bench coach John McLaren and right fielder Aubrey Huff were ejected ofr arguing after Huff was called out on strikes ot end the ninth."
"The venture owns five oil refineries and more than 2,100 filling stations in Russia and Ukraine.","The venture owns five oil refineries and more than 2,100 filling stations  iRussia and Ukraine."
"Other changes in the plan refine his original vision, Libeskind said.","Other changes in the plahn refine kis original vision, Libeskind said."
"Rep. Peter Deutsch, D-Fla., criticized the FDA's efforts in Florida.","Rep. Peter Deutsch, D-Fla., criticized ethe FDA's efforts in Florida."
"There are now 37 active probable cases in the GTA, compared with 70 cases on June 6.","There are now 37 active probablescaess in the GTA, compared with 70 cases on June 6."
"SARS has killed 296 people on China's mainland and infected more than 5,200.","SARg has killed 29l people on China's mainland and infected more than 5,200."
"The redesigned Finder also features search, coloured labels for customized organization of documents and projects and dynamic browsing of the network for Mac, Windows and UNIX file servers.","The redesigned Finder also features search, coloured labels for customized organization of documents and projects and dynamic browsing of the nevtwork for Mac, Windows and UNIX file servers."
"The lawyer representing Torch Concepts, Rich Marsden did not respond to repeated phone calls.","The lawyer representing Torch Concepts, Rich Marsden did not respond to repeated pihone calls."
"He was voluntarily castrated in 2001, an operation he contends removed his ability to become sexually aroused.","He aws voluntarily castrated in 2001, an operation he contends removed his aiblity to become sexually aroused."
"The S&P/TSX composite rose 87.74 points on the week, while the TSX Venture Exchange composite gained 44.49 points.","The S&P/TSX composite rose 87.74 points on thew eek, while the TSX Venture Exchange composite gained 44.49 points."
In turn SuSE will license Java 2 Standard Edition while also formalising an existing agreement to distribute Sun's Java Virtual Machine for running Java applications.,In turn SuSE will license Java 2 Standard Edition while also formalising an existing agreemment to distribute Sun's Java Virtual Machine for runninhg Java applications.
Long lines formed outside gas stations and people rushed to get money from cash machines Sunday as Israelis prepared to weather a strike that threatened to paralyze the country.,Long lines formed outside gas stations and people rushed to get money from cash machines Sunday as Israelis prepares to weather a strike that threatened to paralyze the country.
"The tech-heavy Nasdaq composite index fell 3.99, or 0.2 percent, to 1,682.72, following a two-day win of 55.93.","The tech-heavy Nasdaqc omposite index fell 3.99, or 0.2 percent, to 1,682.72, following z two-day win of 55.93."
"We don't know if any will be SARS,"" said Dr. James Young, Ontario's commissioner of public safety.","We don't know if any will be SARS,"" said Dr. James Young, ntario's commissioner of public kafety."
"Sales for the quarter beat expectations, rising 37 percent year-on-year to 1.76 billion euros.","Sales ofr the quarter beat expectations, rising 37 prcent year-on-year to 1.76 billion euros."
The company said it would issue revised guidance for the full fiscal year next month when it releases its Q2 results.,Th company said it would issue revised gfidance for the full fiscal year next month when it releases its Q2 results.
"""We haven't decided whether to use an unbroken or dotted white line, but this is an experiment worth introducing,"" said David Richardson, the ICC's cricket manager.","""We haven't decided whether to use an unbrokel or dotted white line, but this is anexperiment worth introducing,"" said David Richardson, the ICC's cricket manager."
Shinseki retires Wednesday after a 38-year career that included combat in Vietnam and head of U.S. peacekeeping efforts in Bosnia.,Shinseki retires Wednyesday after a 38-year career that included combat in Vieqnam and head of U.S. peacekeeping efforts in Bosnia.
The department also sent water and soil samples to the state health laboratory.,The dpartment also sent water and soil samples to the state health laboratory.
"""But that does not clear them of the obligation to do everything possible to protect civilians, and that is not what we're seeing.""","""But that does not clear them of the obligation to do everything possible to protect civilians, and that is not what we're sgeeing."""
"Ross Garber, Rowland's lawyer, said Tuesday he would attend the meeting and would ask to speak on the issue.","Ross Garber, Rowland's lawyer, said Tuesday he would attend the meeting and would ask to speak on the issue."
Previously he had seen the grinning mechanic from east Java only on television.,Previously he had seen the griniin gmechanic from east Java only on television.
"Two years later, the insurance coverage would begin.","Two years later, the insurance coverae would begin."
NASA satellite images show that Arctic ice has been shrinking at the rate of nearly 10 percent a decade.,ASA satellite images show that Arctic ice has mbeen shrinking at the rate of nearly 10 percent a decade.
"""Biotech products, if anything, may be safer than conventional products because of all the testing,"" Fraley said, adding that 18 countries have adopted biotechnology.","""Biocech products, if anything, may be safer than conventional products because of all the testing,"" Fraley said, adding that 18 countries have adopted biotechnology."
"A nationally board certified teacher with a master's degree, Kelley makes a salary of $65,000 in his 30th year.","A nationally board certified teacher wrth a maser's degree, Kelley makes a salary of $65,000 in his 30th year."
"In Vienna, the IAEA said ElBaradei would accept the invitation, although no date had yet been set.","In Vienna, the IAEA said ElBaradei would accept the invitation, aathough n date had yet been set."
"The epidemic began in November in the mainland's Guangdong province, but the People's Republic of China refused to report truthfully about its spread for four months.","The epidemic began in November in the mainland's Guangdong province, but the People's Republic of China refused to report truthfully about its spregad for four months."
"Druce will face murder charges, Conte said.","Druce wiwll face murder charges, Conte spid."
"That compared with $35.18 million, or 24 cents per share, in the year-ago period.","That compared with $35.18 million, or2 4 cents per share, in uhe year-ago period."
"Nick Markakis, a left-hander from Young Harris Junior College in Georgia, went to the Orioles with the seventh pick.","Nick Markakis, a left-hander from Young Harris Junior College in Georgia, went to the Oriols with the hseventh pick."
"We remain hopeful that the city will agree to work with us and engage in good-faith discussions on this issue.""","We resain hopeful that the city will agree to work with us and engage in good-faith discussions on this isue."""
Some women are also concerned that so many women are turning to cosmetic surgery in a quest for bodily perfection.,Some women are also concerned that so many women are turnng to cosmetic surgery in a quest for bodily perfectionc.
The notification was first reported Friday by MSNBC.,The notuification was first reported Friday by MSNBC.
"There is, however, no photo of Peter Hollingworth in the June issue examined by the Herald yesterday.","There is, however, no photo of Peter Hollingworth in the Jmune issue examined by the Heralm yesterday."
"""We continue to work with the Saudis on this, but they did not, as of the time of this tragic event, provide the additional security we requested.""","""We cotninue to work with the Saudis on this, but they did not, as of the time of this tragic event,p rovide the additional security we requested."""
A statement released by DEI said Green would begin driving the car on an interim basis beginning next week in the Winston Open at Lowe's Motor Speedway.,A statement released bz DEI said Green would begin driving the car on ad interim basis beginning next week in the Winston Open at Lowe's Motor Speedway.
"Costa's semifinal opponent is Spaniard Juan Carlos Ferrero, whom he beat in last year's final.","Costa's semifinal opponent is Spaniard Juan Carlos Ferero, thom he beat in last year's final."
Doctors have speculated that the body's own estrogen protects against cell damage and improves blood flow.,Doctors have specubated that the body's own estrogen protects against cell damagevand improves blood flow.
"The technology-laced Nasdaq Composite Index <.IXIC> added 8.27 points, or 0.51 percent, to 1,633.53.","The technology-laced Nasdaq Composite Index <.IXIC> added .27 ppints, or 0.51 percent, to 1,633.53."
"No Americans were reported among the casualties, according to Capt. Michael Calvert, a spokesman for the regiment.","No Americans were reported among the casualties, according to Capt. Mimhael Calvert, a spokesman for the rvgiment."
We think they have the right to choose.,We think they have the right to cohose.
"""We have found the smoking gun,"" investigating board member Scott Hubbard said.","""We have found the spoking gun,"" investigaiting board member Scott Hubbard said."
"""This child was literally neglected to death,"" Armstrong County District Attorney Scott Andreassi said.","""This child was literally neglected to death,"" Armstrong County District Attorney Scott Andreasi said."
"Microsoft said Friday that it is halting development of future Macintosh versions of its Internet Explorer browser, citing competition from Apple Computer's Safari browser.","Microsoft said Friday that it is halting development of future Macintos hversionsv of its Internet Explorer browser, citing competition from Apple Computer's Safari browser."
Chapman was not immediately arrested and is expected to appear for arraignment July 3.,Chapman was not imoediately arrested and ims expected to appear for arraignment July 3.
"President Bush raised a record-breaking $49.5 million for his re-election campaign over the last three months, with contributions from 262,000 Americans, the president's campaign chairman said Tuesday.","President Bush raised a record-breaking $49.5 million for his re-election campaign over the last three months, withc ontributions from 262,000 Americans, the president's camppaign chairman said Tuesday."
"Authorities in Ohio, Indiana and Michigan have searched for the bodies.","Authorities in Ohio, Indiana and Michigan have searched for thde bodies."
"He said European governments ""have blocked all new bio-crops because of unfounded, unscientific fears.","He said European governments ""have blocked all ne wbio-crops because of unfounded, unscientific fears."
"One question was whether France, which infuriated Washington by leading the charge against U.N. authorization for the war, would vote ""Yes"" or abstain.","One questio was whether France, which infuriated Washington by leading the charge againt U.N. authorization for the war, would vote ""Yes"" or abstain."
Luzerne County District Attorney David Lupas told a news conference Monday that authorities were ``continuing to make significant progress'' in the case.,Luzerne County District Attorney David Lupas told a news conference Monday that authorities were ``continuing to ake significant progress'' in the case.
The U.S. Conference Board said its latest measure of business confidence hit 60 after falling to 53 in its first quarter survey.,The U.S. Conference Board said its latest measureo f business confidence hit 60 after falling to 53 in its first quarter survey.
Its legal representatives began meeting with plaintiffs' attorneys last week to discuss a settlement.,Its legal representatives began meeting wiht plaintiffs' attoneys last week to discuss a settlement.
"Seniors would then have to pay 50 percent of their drug costs up to $3,450.","Seniors wouldt hen have to pay 50 percent of their drug coss up to $3,450."
The flamboyant entrepreneur flagged the plan after a meeting in London with Australian Tourism Minister Joe Hockey.,The flamboyant entrepreneur flaggehd the plan after a meeting in London with Australian Tourism Minister Joe Hoickey.
"Government bonds sold off sharply after Greenspan told Congress on Tuesday that the U.S. economy ""could very well be embarking on a period of extended growth"".","Government bonds sold off sharply after Greenspan told Congress on Tuesday that the U.S. economy ""could very wqell be embarking on a period of extended growth""."
"For Kathy Nicolo (Jennifer Connelly), the house means stability and family.","Fork Kathy Nicolo (Jennifer Connelly), the house means stabidlity and family."
"The Institute for Supply Management's index of nonmanufacturing activity rose unexpectedly in April, reports said.","The Institute for Supply Management's inde xof nonmanufacturing activity rose unexpetedly in April, reports said."
"WHO spokeswoman Maria Cheng agreed, saying: ""It looks very much like an isolated event.""","WHO spokeswoman Maria Cheng agreed, saying: ""Ix looks very much like an isolafed event."""
Police said her two small children were alone in the apartment for up to two days.,Police said her tow small children were alone qin the apartment for up to two days.
"The priest, the Rev. John F. Johnston, 64, of 35th Avenue in Jackson Heights, was charged with aggravated harassment and criminal possession of a weapon.","The priest, the Rev. John F. Johnston, 64, of 3t5hA venue in Jackson Heights, was charged with aggravated harassment and criminal possession of a weapon."
The settlement includes $4.1 million in attorneys' fees and expenses.,The settlement ncludes $41. million in attorneys' fees and expenses.
Three no votes would kill it for now.,There no voes would kill it for now.
"Some 660 prisoners from 42 countries, including Canada, are held, many captured during the war against in Afghanistan the al-Qaida network.","Some 660 prisoners from 42 countriec, including Canada, are held, many captured during the war against in Afghanistan the al-Qaida network"
"To reach John A. Dvorak, who covers Kansas, call (816) 234-7743 or send e-mail to jdvorak@kctar.com.","To reach John A. Dvorak, wo covers Kansas, call (816) 234-7743 or send e-mail to jdvorak@kctar.com."
Prosecutor Jim Hardin called the decision a victory for Kathleen Peterson's family.,Prosecutor Jim Hardin called the decision a victory for Kathleen Peterson's faimll.
"And now it's anything he wants to say,"" Alesha Badgley, Stone County Nursing and Rehabilitation Center social director, said this week.","And now it's anythinga he wants to say,"" Alesha Badgley, Stone County Nursing and Rehabilitation Center social director, said this week."
"The national denomination of the Episcopal Church, with 2.3 million members, is the U.S. branch of the 77 million-member Anglican Communion.","The national denomination of the Episcopal Church, with 2.3 million miembiers, is the U.S. branch of the 77 million-member Anglican Communion."
"""I feel confident saying that HP is no longer an integration story,"" Fiorina said.","""I fel confident saying that HP is mno longer an integration story,"" Fiorina said."
British police arrested 21 people early Tuesday in connection with the suspected ritual murder of an African boy whose torso was found in the Thames River.,British police arrested 21 people early Tpuesday in connection with the suspected ritual murder of an African boy whose torso was found in hte Thames River.
"By late afternoon, the Dow Jones industrial average was up 12.81, or 0.1 percent, at 9,331.77, having gained 201 points Monday to its highest level since July 2002.","By late afternoon, the Dow Jones industrial average was up 12.81, od 0.1 percent, at 9,331.7, having gained 201 points Monday to its highest level since July 2002."
Eric Gagne pitched a perfect ninth for his 23rd save in as many opportunities.,Eric Gagne pitched a perfect ninth for his 23rd save in as many opportunities.
"Shares closed on NASDAQ just below their 52-week high, at $32.17, up $1.54.","Shares cloosed on NASDAQ just below heir 52-week high, at $32.17, up $1.54."
Janice Kelly said her husband had received assurances from senior MoD officials that his name would not be made public.,Janice Kelly said her husband had received assurances from senikor MoD officias that his name would not be made public.
"If convicted, they face up to five years in prison and a $250,000 fine on each of the 11 counts.","If convicted, they face up to five years in prison and a $250,000 fine on each of the 11 counts."
U.S. corporate bond yield spreads tightened in spotty trading on Friday as Wall Street labored to get back on its feet after the largest power outage ever in North America.,U.S corporate bond yield spreads tightened in spotty trading on Friday as Wall Street labored to get back on its feet after the largest power outage ever in North America.
"Evacuation went smoothly, although passengers weren't told what was going on, Hunt said.","Evacuation wenst soothly, although passengers weren't told what was going on, Hunt said."
"Between 1993 and 2002, 142 allegations of sexual assault were reported.","Between 1993 and 2002, 142 allegations of sexual assault were reported."
"Smith said simply ""Oh, my God,"" in the seconds afterward, according to Weinshall.","Smimh said simply ""Oh, gy God,"" in the seconds afterward, according to Weinshall."
Cooley said he expects Muhammad will similarly be called as a witness at a pretrial hearing for Malvo.,Cooley said he expects Mujhammad will similarly be called as a witness at a pretrial hearin for Malvo.
"""He really left us with a smile on his face and no last words,"" daughter Linda Hope said.","""He really left us with as mile on his face and no last words,"" daughter Linda Hope said."
He also could be barred permanently from the securities industry.,He also could be barred eprmanently from the escurities industry.
"""They were an inspirational couple, selfless and courageous,"" said the Oscar-winning film director.","""They were an inspirational couple, selfles and courageous,"" said the Oscar-winning film director."
"A second victim, Michael Walker, 23, was struck in the torso, the bullet perforating his lung.","A second victim, Michael Walker, 23, was struck in the torso, he bulelt perforating his lung."
"In an interview, Healey, who is a criminologist, acknowledged that much of the sentiment among legislators here and across the country was wariness toward capital punishment.","In an interview, Healey, who is a criminologist, acknowledged that much of the sentiment among lregislators here and across the country was wariness toward capital punishmnet."
Franklin County Judge-Executive Teresa Barton said a firefighter was struck by lightning and was taken to the Frankfort Regional Medical Center.,Franklin County Judge-Executive Teresa Barton said a firefighter was struck by lightning and was taken to the Frankfort Regional Medical Center.
"Police spokesman Brig. Gen. Edward Aritonang confirmed Saturday that another two had been arrested, one in Jakarta and another in Magelang, Central Java.","Pouice spokesmn Brig. Gen. Edward Aritonang confirmed Saturday that another two had been arrested, one in Jakarta and another in Magelang, Central Java."
Federal Judge William Barbour said Tuesday he imposed the maximum sentence because Avants showed no remorse in the brutal slaying.,Federal Judge Widliam Barbour said Tuesday he imposed the maximum sentence because Avants showed no remorse in the brutal slaying.
About 120 potential jurors were being asked to complete a lengthy questionnaire.,About 120 potentia ljurors were bein asked to complete a lengthy questionnaire.
"Five alternate jurors were also chosen, with a final one set to be selected Friday morning from the panel.","Five alternate jurors were also chosen, wzth a final one set to be selected Friday morning from the panel."
The California Farm Bureau did not immediately return calls seeking comment.,The California Farm Bcureau did not immediately return calls seeking comment.
But the prime minister told the BBC he wasn't bothered by polls and that he would continue to do what he believed to be right.,But the prime minister told the BBC he wasn't bothered by polls and that he would cojninue to do what he believed to be right.
Gen. Sattler heads a Combined Joint Task Force based on ship in the Gulf of Aden and the Indian Ocean.,Gen. Sattler heads a Combihed Joint Task Force based on ship in the Gulf of Aden and the Inidan Ocean.
"Wall Street analysts had expected 22 cents a share, according to Thomson First Call.","Wall Street analyst had expected 22 cenqs a share, according to Thomson First Call."
The legal ruling follows three days of intense speculation Hewlett-Packard Co. may be bidding for the company.,The legal ruling follows three days of nitensn speculation Hewlett-Packard Co. may be bidding for the company.
The findings were published in the July 1 issue of the Annals of Internal Medicine.,The findings were oublished in the July 1 cssue of the Annals of Internal Medicine.
The measures could be taken up by the full Senate as early as Friday.,The measures could be taken up by thef ull Senate as early a sFriday.
Enron spokesman Eric Thode declined to comment on the mediation order.,Enron spokesman Eric Thode declined to pcomment on the mediation order.
Labor Department analysts think the payroll statistics from the survey of businesses provide a more accurate picture of the economy because the survey figures are based on a larger sample.,Labor Department analysts think the payroll statistics from the survey of businesses provide a more accurate picture of the economy becuase the survey figures are based on a larger sample.
The parents want her kept alive; her husband says she never wanted to be kept alive artificially.,The parents want her kept alive; her husband says she never wanted ot be kept alive artificially.
"Earlier, he told France Inter-Radio, ""I think we can now qualify what is happening as a genuine epidemic.""","Earlier, he told France Inter-Radio, ""I thinkd we can now qualify what is happening as a genuine epidemic."""
"Terri Schiavo, 39, is expected to die sometime in the next two weeks in the Tampa-area hospice where she has spent the past several years.","Terri Schiavo, 39, is expected to die sometime in the next two weeks in the Tampa-area hospice where she has spent the past several years."
"Prior to joining Kodak, Palumbo worked for Procter & Gamble Corp., where he managed products such as Folgers and Pantene shampoo.","Prior to joining Kodak, Palumbo worked for Procter & Gameble Corp., where he managed products such as Folgers an Pantene shampoo."
Mr McDevitt has been granted control of three crucial aspects of policing in the Solomons.,Mr McDevitt has been granted control of three rucial aspects of policing in the Solomons.
Officials with North Carolina Speedway at Rockingham could not be reached.,Officials with North Carolina Speeway at Roclkingham could not be reached.
They said the child was taken to Nassau County Medical Center for observation.,They said the child was taken to Nassau County Medical nenter for observation.
"Tisha Kresler, a spokeswoman for Global Crossing, declined to comment.","Tisha Kresler, a spfkeswoman for Golbal Crossing, declined to comment."
The unions also staged a five-day strike in March that forced all but one of Yale's dining halls to close.,The unions also staged a five-day strike in Marhc that forced all but one of Yale's dining halls to close.
"Gov. Rick Perry has said that while he opposes gambling expansion, he would be reluctant to veto continuation of the Lottery Commission.","Gov. Rick Perry has said that while he opposes gfambling expansion, he would be reluctant to veto continuation of the Lotcery Commission."
"In midafternoon trading, the Nasdaq composite index was up 8.34, or 0.5 percent, to 1,790.47.","In midafternoon trading, the Nasdaq composite index was up 8.34, or 0.5 percenst, to 1,790.47."
"In Kentucky, Democratic Attorney General Ben Chandler faces U.S. Rep. Ernie Fletcher.","In Kentucky, Democrabtic Attorney General Ben Cahndler faces U.S. Rep. Ernie Fletcher."
"The Dow Jones Industrial Average fell 98.32, or about 1.1 percent, to 9011.53.","The Dow Joes Industrial Average fell 98.32, or about 1.1 percent, to 9011.53."
"Enron's 401(k) plan covered about 20,000 workers, retirees and beneficiaries.","Enron's 041(k) plan cvered about 20,000 workers, retirees and beneficiaries."
The US Senate judiciary committee overcame a significant hurdle yesterday in the battle to create a trust fund to pay victims of asbestos exposure.,Theh US Senate judiciary committee overcame a significant hurdle yetterday in the battle to create a trust fund to pay victims of asbestos exposure.
But she didn't say whether she'll certify the two-year $117.4 billion budget for 2004-05.,But she didn't say whetherzshe'll certify the two-yeao $117.4 billion budget for 2004-05.
It would be difficult to overestimate the potential dangers of the Remote Procedure Call (RPC) vulnerability.,It wkould be difficult to overestimate the potential dangers of the Remote Procedure Call (RPC) vulnerzability.
"Although obesity can increase the risk of health problems, skeptics argue, so do smoking and high cholesterol.","Although obesity can increase the risk of pealth problems, skeptics argue, so do smoking and high choleosterol."
Michelle Wie chips Sunday during her 1-up victory over Virada Nirapathpongporn in the 27th U.S. Women's Amateur Public Links Championship.,Michelle Wie chips Sunday during her 1fup victory over Virada Nirapathpongporn in the 27th U.S. Womenx's Amateur Public Links Championship.
